Product Name,Brand,Category,MRP,Discounted Price,Rating,Number of Reviews,Product URL
Teams Cricket Slim Fit Tee,Puma,Men's T-Shirts,1499.0,749.0,3.7,453,https://www.myntra.com/tshirts/puma/puma-teams-cricket-men-slim-fit-tee/32459816/buy
Pure Cotton Slim Fit T-shirt,U.S. Polo Assn. Denim Co.,Men's T-Shirts,1299.0,870.0,4.7,7,https://www.myntra.com/tshirts/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-brand-logo-printed-pure-cotton-slim-fit-t-shirt/34032302/buy
Oversized Printed T-shirt,NOBERO,Men's T-Shirts,1799.0,499.0,4.4,4500,https://www.myntra.com/tshirts/nobero/nobero-graphic-printed-oversized-t-shirt/26858810/buy
Printed Anti Odour Gym T-shirt,FUAARK,Men's T-Shirts,1599.0,559.0,4.3,311,https://www.myntra.com/tshirts/fuaark/fuaark-slim-fit-typography-printed-raglan-sleeves-anti-odour--gym-t-shirt/22766850/buy
Cotton Polo Collar T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1079.0,4.6,29,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-men-polo-collar-pure-cotton-t-shirt/34032865/buy
Logo Lounge T-shirts,U.S. Polo Assn.,Men's T-Shirts,699.0,643.0,4.3,930,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-embroidered-logo-pure-cotton-lounge-t-shirts/22492640/buy
Striped Relaxed Fit T-shirt,Mast & Harbour,Men's T-Shirts,1099.0,428.0,4.3,26,https://www.myntra.com/tshirts/mast+%26+harbour/mast--harbour-striped-relaxed-fit-t-shirt/32413635/buy
Pure Cotton Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1299.0,870.0,4.6,8,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-pure-cotton-brand-logo-printed-slim-fit-t-shirt/34032900/buy
Men Polo Collar Pockets Slim Fit T-shirt,Metronaut,Men's T-Shirts,1999.0,299.0,3.9,351,https://www.myntra.com/tshirts/metronaut/metronaut-men-polo-collar-pockets-slim-fit-t-shirt/31649098/buy
Solid V-Neck Lounge T-shirt,Levis,Men's T-Shirts,649.0,467.0,4.4,1700,https://www.myntra.com/lounge-tshirts/levis/levis-men-pure-cotton-v-neck-short-sleeve-tshirt/12027434/buy
Colourblocked Cotton T-shirt,U.S. Polo Assn. Denim Co.,Men's T-Shirts,2199.0,1363.0,4.3,26,https://www.myntra.com/tshirts/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-colourblocked-polo-collar-pure-cotton-slim-fit-t-shirt/32409601/buy
Men Self Design T-shirt,Moda Rapido,Men's T-Shirts,1499.0,344.0,3.8,454,https://www.myntra.com/tshirts/moda+rapido/moda-rapido-men-self-design-polo-collar-t-shirt/33621042/buy
Logo Lounge T-shirts,U.S. Polo Assn.,Men's T-Shirts,699.0,671.0,4.2,691,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-embroidered-logo-pure-cotton-lounge-t-shirts/22492612/buy
Men Solid Cotton Polo T-shirt,NOBERO,Men's T-Shirts,2299.0,799.0,4.4,32,https://www.myntra.com/tshirts/nobero/nobero-men-solid-polo-collar-cotton-t-shirt/32643893/buy
Striped Polo Collar T-shirt,max,Men's T-Shirts,699.0,549.0,4.5,1900,https://www.myntra.com/tshirts/max/max-striped-polo-collar-t-shirt/26699936/buy
Men Printed Oversized T-shirt,NOBERO,Men's T-Shirts,1799.0,499.0,4.4,607,https://www.myntra.com/tshirts/nobero/nobero-men-oversized-graphic-printed-cotton-t-shirt/30461446/buy
Pure Cotton Slim Polo T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1004.0,4.3,7,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-pure-cotton-slim-fit-polo-collar-t-shirt/34032863/buy
Men Lounge T-Shirts,DAMENSCH,Men's T-Shirts,599.0,467.0,4.5,327,https://www.myntra.com/lounge-tshirts/damensch/damensch-ultralight-basic-crew-men-pure-cotton-lounge-t-shirts/30205298/buy
Men Lounge T-shirt,max,Men's T-Shirts,599.0,499.0,4.2,584,https://www.myntra.com/lounge-tshirts/max/max-men-rust-coral-lounge-t-shirt/20961922/buy
Slim Pure Cotton T-shirt,U.S. Polo Assn.,Men's T-Shirts,1699.0,1223.0,,0,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-slim-fit-polo-collar-pure-cotton-t-shirt/34032859/buy
Cotton Oversized T-Shirt,NOBERO,Men's T-Shirts,1799.0,499.0,4.3,1900,https://www.myntra.com/tshirts/nobero/nobero-graphic-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/28699080/buy
Pure Cotton Oversized T-shirt,LAUREN ADAMS,Men's T-Shirts,1499.0,449.0,3.9,13,https://www.myntra.com/tshirts/lauren+adams/lauren-adams-typography-printed-round-neck-drop-shoulder-pure-cotton-oversized-t-shirt/35437911/buy
Pure Cotton Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1999.0,1339.0,4.8,76,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-striped-polo-collar-pure-cotton-slim-fit-t-shirt/32410260/buy
Unisex Cotton Pockets T-shirt,BROWN BROTHERS,Men's T-Shirts,1299.0,454.0,4.3,27,https://www.myntra.com/tshirts/brown+brothers/brown-brothers-unisex-pure-cotton-round-neck-short-sleeves-oversized-pockets-t-shirt/29027526/buy
Ultralight Basic Crew T-Shirt,DAMENSCH,Men's T-Shirts,599.0,497.0,4.4,216,https://www.myntra.com/lounge-tshirts/damensch/damensch-ultralight-basic-crew-pure-cotton-lounge-t-shirts/30205302/buy
Men Casca Regular Fit Polo,RARE RABBIT,Men's T-Shirts,3499.0,1749.0,4.1,287,https://www.myntra.com/tshirts/rare+rabbit/rare-rabbit-men-casca-polo-collar-cotton-slim-fit-t-shirt/23518072/buy
Solid Athleisure T-shirt,U.S. Polo Assn.,Men's T-Shirts,699.0,643.0,4.2,968,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-men-black-solid-round-neck-athleisure-t-shirt/9168523/buy
Men Oversized Printed T-shirt,NOBERO,Men's T-Shirts,1799.0,499.0,4.5,367,https://www.myntra.com/tshirts/nobero/nobero-men-oversized-graphic-printed-cotton-t-shirt/30461458/buy
Pure Cotton Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,659.0,4.4,275,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-polo-collar-pure-cotton-slim-fit-t-shirt/30427453/buy
Ultralight Crew Cotton T-Shirt,DAMENSCH,Men's T-Shirts,599.0,467.0,4.2,133,https://www.myntra.com/lounge-tshirts/damensch/damensch-ultralight-basic-crew-pure-cotton-lounge-t-shirts/30205300/buy
Printed Training T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,699.0,300.0,4.4,115,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-printed-training-t-shirt/26696672/buy
Pure Cotton Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1699.0,1223.0,4.6,67,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-polo-collar-pure-cotton-slim-fit-t-shirt/30427732/buy
Lightweight Lounge T-shirt,U.S. Polo Assn.,Men's T-Shirts,699.0,678.0,4.4,289,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-men-brand-logo-printed-pure-cotton-lightweight-lounge-t-shirt/22492600/buy
Slim Fit Cotton T-shirt,Crocodile,Men's T-Shirts,,,4.0,104,https://www.myntra.com/tshirts/crocodile/crocodile-polo-collar-slim-fit-cotton-t-shirt/23398174/buy
Pure Cotton Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1999.0,1239.0,4.8,12,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-striped-polo-collar-pure-cotton-slim-fit-t-shirt/32410236/buy
Polo Collar Lounge Tshirts,Lux Cozi,Men's T-Shirts,419.0,335.0,4.0,232,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138236/buy
Men Typography Printed Polo Collar T-shirt,JUMPCUTS,Men's T-Shirts,1799.0,499.0,2.7,179,https://www.myntra.com/tshirts/jumpcuts/jumpcuts-men-typography-printed-polo-collar-t-shirt/32571698/buy
Men Printed Cotton T-shirt,RARE RABBIT,Men's T-Shirts,1999.0,1339.0,4.5,10,https://www.myntra.com/tshirts/rare+rabbit/rare-rabbit-men-typography-printed-round-neck-cotton-t-shirt/31397201/buy
Cotton Oversized T-Shirt,KAIDO,Men's T-Shirts,1139.0,399.0,3.9,8,https://www.myntra.com/tshirts/kaido/kaido-graphic-printed-round-neck-drop-shoulder-sleeves-cotton-oversized-t-shirt/34755211/buy
Cotton Lounge Tshirts,max,Men's T-Shirts,599.0,499.0,4.3,529,https://www.myntra.com/lounge-tshirts/max/max-men-blue-cotton-lounge-tshirts/20961950/buy
Self Design Cotton T-Shirt,RARE RABBIT,Men's T-Shirts,4199.0,2099.0,4.1,112,https://www.myntra.com/tshirts/rare+rabbit/rare-rabbit-men-lincos-polo-collar-slim-fit-cotton-t-shirt/25763342/buy
Pure Cotton Lounge T-Shirts,DAMENSCH,Men's T-Shirts,599.0,497.0,4.5,328,https://www.myntra.com/lounge-tshirts/damensch/damensch-ultralight-basic-crew-pure-cotton-lounge-t-shirts/30205303/buy
Pure Cotton T-shirt,Being Human,Men's T-Shirts,799.0,351.0,4.2,51,https://www.myntra.com/tshirts/being+human/being-human-pure-cotton-t-shirt-with-minimal-print/29620558/buy
Pure Cotton Slim Polo T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1004.0,4.5,34,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-pure-cotton-slim-fit-polo-collar-t-shirt/34032823/buy
Self Design T-Shirt,VeBNoR,Men's T-Shirts,999.0,299.0,3.7,34,https://www.myntra.com/tshirts/vebnor/vebnor-self-design-polo-collar-t-shirt/33921444/buy
Round-Neck Training T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,699.0,300.0,4.4,27,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-round-neck-training-t-shirt-with-reflective-elements/33081763/buy
Polo Collar T-shirt,MANGO MAN,Men's T-Shirts,3690.0,2398.0,4.2,6,https://www.myntra.com/tshirts/mango+man/mango-man-polo-collar-t-shirt/33185486/buy
Pure Cotton Oversized T-shirt,BDSQUARE,Men's T-Shirts,2499.0,399.0,4.5,123,https://www.myntra.com/tshirts/bdsquare/bdsquare-just-chill-shin-chan-printed-round-neck-pure-cotton-oversized-t-shirt/34972468/buy
Men Self Design Cotton T-shirt,Campus Sutra,Men's T-Shirts,1699.0,696.0,4.4,1400,https://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-self-design-polo-collar-cotton-t-shirt/32193132/buy
Printed Pure Cotton T-shirt,U.S. Polo Assn. Denim Co.,Men's T-Shirts,999.0,669.0,,0,https://www.myntra.com/tshirts/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-typography-printed-pure-cotton-t-shirt/34032144/buy
Antimicrobial T-shirt,Technosport,Men's T-Shirts,,,4.3,535,https://www.myntra.com/tshirts/technosport/technosport-polo-collar-regular-fit-antimicrobial-training-or-gym-t-shirt/22172230/buy
Rapid Dry Training T-Shirt,HRX by Hrithik Roshan,Men's T-Shirts,699.0,300.0,4.1,104,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-rapid-dry-printed-training-t-shirt/30659491/buy
Cotton Slim Fit T-shirt,U.S. Polo Assn. Denim Co.,Men's T-Shirts,2199.0,1473.0,4.0,29,https://www.myntra.com/tshirts/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-men-colourblocked-polo-collar-pure-cotton-slim-fit-t-shirt/32409791/buy
Men Polo Collar T-shirt,Roadster,Men's T-Shirts,1299.0,519.0,3.9,640,https://www.myntra.com/tshirts/roadster/roadster-men-polo-collar-pure-cotton-t-shirt/26583612/buy
Printed Oversized T-shirt,Bewakoof,Men's T-Shirts,1299.0,599.0,4.3,369,https://www.myntra.com/tshirts/bewakoof/bewakoof-brown-graphic-printed-drop-shoulder-oversized-cotton-t-shirt/25641378/buy
Men Polf Regular Fit Polo,RARE RABBIT,Men's T-Shirts,3599.0,2051.0,4.6,63,https://www.myntra.com/tshirts/rare+rabbit/rare-rabbit-men-polf-polo-collar-short-sleeves-t-shirt/29318784/buy
